pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0201,-0.2282,0.0553,26,343.40878777381,0.072,54.32142203454,0.066,2002645015636850432,0.4203,0.0833,-1.676,0.089,-1.334,0.082,1.052,17.697107,0.002987,18.249386,0.012946,16.991188,0.007919,1.258198,,,1.243,941.776,85.885,146.497,0.97,1.0144392159246198,0.002837401883895864,0.0,0.14513042298979337
-0.0362,-0.2135,0.0789,26,343.40444737152,0.0829,54.32246679347,0.0713,2002645084356331904,0.4693,0.0923,-1.521,0.105,-1.469,0.087,0.972,17.872545,0.00298,18.441917,0.013266,17.154625,0.007352,1.287292,,,1.245,957.514,83.718,159.629,0.96,0.9834909558299786,0.0029599740385690743,0.0,0.16207822010879366
-0.2558,-0.2609,0.1395,26,343.42671845714,0.0122,54.32342155938,0.0127,2002645118717973248,0.4001,0.0155,-1.606,0.016,-1.569,0.016,0.999,12.930207,0.002771,13.067574,0.00292,12.683832,0.002846,0.383741,,,1.167,3707.064,1259.322,1931.106,0.98,3.142933927052328,0.0011093980601547184,0.0,0.0
-0.168,-0.3043,0.045,26,343.43422822186,0.0325,54.31639180943,0.0306,2002644362801810944,0.4859,0.0408,-1.772,0.042,-1.439,0.037,1.071,16.161697,0.002806,16.568148,0.00497,15.577372,0.003989,0.990776,,,1.22,2051.229,263.975,380.815,0.98,1.364053747199498,0.010962430044164589,0.6294010830937431,0.2747572103942256
-0.1461,-0.1857,0.1316,28,343.41417887645,0.0114,54.33892655972,0.0111,2002645088659516928,0.433,0.0139,-1.625,0.014,-1.48,0.013,1.236,13.098834,0.002775,13.237071,0.002899,12.850266,0.002803,0.386806,,,1.168,3302.096,1382.671,4058.979,0.99,3.045723466098959,0.0012902329503731195,0.0,0.05337025763693105
-0.1986,-0.2267,0.067,28,343.43476279433,0.0104,54.32909792235,0.01,2002645118714617344,0.442,0.0128,-1.564,0.013,-1.588,0.012,0.995,12.236443,0.002762,12.368896,0.002929,11.983706,0.002952,0.38519,,,1.173,5811.71,1220.697,1124.574,0.98,3.2181341448304535,0.07497194369421062,2.8806087365514004,0.4794050769809214
-0.174,-0.1983,0.0548,27,343.43681625438,0.0474,54.32778222885,0.0465,2002645123012560512,0.3448,0.058,-1.517,0.059,-1.373,0.056,1.152,16.893021,0.00286,17.303123,0.016239,16.202127,0.009234,1.100996,,,1.292,1419.154,67.869,123.352,0.97,1.1920850995216896,0.004447243370016682,0.0,0.2210347309179779
-0.136,-0.1469,0.1028,28,343.41195976126,0.0356,54.34088971083,0.034,2002645294817945728,0.4576,0.0423,-1.778,0.044,-1.386,0.041,0.982,16.520805,0.002817,16.97983,0.005143,15.883045,0.00376,1.096785,,,1.233,1846.06,251.298,430.706,0.98,1.2408041223911266,0.020864863167195734,0.8202683424682937,0.07692871618848467
-0.0312,-0.2551,0.0542,27,343.40267878082,0.1202,54.34335093286,0.1091,2002645290514820224,0.3469,0.1384,-1.529,0.15,-1.446,0.134,0.939,18.517792,0.003266,19.297977,0.026258,17.599768,0.010276,1.69821,,,1.334,618.933,41.585,109.776,0.94,0.8012749638447758,0.02458990766938058,0.7029081138917873,0.041699901050106736
-0.1509,-0.2815,0.114,26,343.38290417155,0.0234,54.30610410364,0.0214,2002644985580314496,0.3509,0.0285,-1.528,0.03,-1.457,0.027,0.971,15.694706,0.002777,16.054722,0.003575,15.166007,0.003537,0.888715,,,1.206,3108.12,485.646,499.496,0.98,1.4937040518515392,0.011019798562782691,0.8958791012004574,0.061300888638440146
