pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.1079,-0.0471,0.1486,24,347.75982280665,0.0578,60.58093439304,0.0579,2014060974283461760,0.367,0.0693,-3.599,0.074,-2.231,0.075,1.076,17.373661,0.002885,18.158976,0.009256,16.514174,0.005779,1.644802,,,1.281,1267.625,123.018,214.547,0.99,1.6493208372808672,0.0143660772527983,0.3307496349751415,0.4218563569267671,0.2005368679634387,0.2557817644985299,0.13805432376647084,1.9800704722560087,0.4221009003249783,0.06567769528159163
-0.149,-0.0564,0.171,27,347.77190247569,0.0145,60.57864041076,0.014,2014060974289802240,0.3427,0.0171,-3.493,0.019,-2.202,0.019,1.074,14.578053,0.002769,15.128015,0.003117,13.853583,0.002871,1.274431,,,1.257,3947.133,781.594,1608.984,0.99,5.336708435823875,0.2013086113697733,0.8118924852964359,1.1070152591341382,0.1521335660472702,0.2075134562436909,0.19481905376196731,6.148600921120312,1.1251701831134033,0.09268283744354616
-0.1714,-0.0768,0.1107,26,347.75722549422,0.0291,60.5812660801,0.0271,2014060974289793664,0.318,0.0326,-3.682,0.037,-2.242,0.036,1.097,15.89222,0.002786,16.540419,0.003893,15.095466,0.003169,1.444953,,,1.276,2617.275,399.867,723.124,1.0,2.777269431135877,0.144815698418387,1.6256922308456796,0.2257599313286153,0.5853563261166155,0.0868298686626567,0.20569076667501746,4.402961661981557,0.2682147145514323,0.09785492498424561
-0.1062,-0.0916,0.1266,27,347.76042920594,0.027,60.58424928402,0.0233,2014061043009267456,0.3042,0.0293,-3.721,0.034,-2.289,0.031,0.978,15.787847,0.002782,16.415419,0.003611,15.006113,0.003053,1.409306,,,1.272,2819.321,473.731,875.598,1.0,2.793687213509369,0.1871707806485642,1.8944828541980536,0.2891342796691235,0.6781299084009643,0.113028798746511,0.22725222285939572,4.688170067707423,0.3444292856427511,0.10811253018247494
-0.6728,0.3774,-0.1779,16,347.77000551081,0.0782,60.57677778146,0.1137,2014060974283489024,0.2568,0.0896,-3.799,0.12,-2.205,0.155,1.03,17.228756,0.003042,,,,,,,,,842.187,,,0.98,8.283806972481164,5.439452844295983,2.751262913847234,4.182217028320538,0.332125425301065,0.5499560372467388,0.22740168239775416,11.035069886328397,6.861383717392136,0.10818363377234756
-0.4261,0.2086,-0.0983,22,347.76959078392,0.0427,60.57661871136,0.0448,2014060974289805568,0.3785,0.0475,-3.716,0.06,-2.173,0.057,1.299,15.876454,0.003351,16.1105,0.019371,14.645158,0.015542,1.465343,,,1.893,569.025,56.639,71.012,0.99,3.057725102394071,0.2916755507857524,2.042593642924717,0.3735357647290853,0.6680108821180333,0.1377817255230524,0.22911859260082112,5.100318745318788,0.4739236166914607,0.10900043329058383
-0.0697,0.0355,0.2099,27,347.77462152605,0.0104,60.58118258516,0.0097,2014060974289800064,0.3348,0.0122,-3.715,0.013,-2.261,0.013,1.212,13.219759,0.002767,13.751608,0.002919,12.508067,0.002818,1.243541,,,1.255,4290.322,1267.069,2742.014,1.0,8.853446992978846,0.6620870573421105,3.0645031955411395,3.060568282810931,0.3461367304702246,0.3466600539512749,0.24050592034516308,11.917950188519985,3.131363518540795,0.11441781842753632
-0.0645,-0.0169,0.2083,25,347.76931425461,0.0413,60.57622221567,0.0348,2014060974283489152,0.2565,0.0458,-3.772,0.051,-2.083,0.045,0.98,16.617741,0.002822,,,,,,,,,1775.345,,,0.87,8.283806972481164,5.439452844295983,2.751262913847234,4.182217028320538,0.332125425301065,0.5499560372467388,0.24412857380658884,11.035069886328397,6.861383717392136,0.11614125253419129
-0.0988,-0.1028,0.1851,28,347.76410152403,0.0408,60.58566935386,0.0376,2014061043009266560,0.3254,0.0465,-3.784,0.052,-2.312,0.049,1.029,16.807302,0.002814,17.470463,0.004777,16.014727,0.004004,1.455736,,,1.267,1902.106,279.975,378.097,0.99,2.1276921349068427,0.0243859185279142,0.2998705544388589,0.4468620807403666,0.1409370037700441,0.2100281755840059,0.26698376758575393,2.4275626893457014,0.4475269737413154,0.12701433793765113
-0.1546,0.0188,0.162,26,347.7563383652,0.0622,60.57693410789,0.0575,2014060974290512128,0.3807,0.0712,-3.569,0.082,-2.247,0.075,1.016,17.529024,0.002877,18.397308,0.014728,16.629253,0.007797,1.768055,,,1.29,1311.321,75.079,149.133,0.99,1.517289319390524,0.0406635588292717,0.0,0.1858722088241036,0.0,0.1225028123830504,0.2904110485319015,1.517289319390524,0.1902682396770749,0.1381595869764285
-0.2267,0.0767,0.0536,26,347.76419246931,0.0121,60.57480615462,0.0122,2014060974289984768,0.333,0.0142,-3.656,0.016,-2.125,0.016,1.039,14.006133,0.002768,14.53373,0.003026,13.299953,0.002907,1.233777,,,1.253,4115.35,926.65,1332.354,1.0,6.977962932996187,0.004623227061182,0.0,0.0,0.0,0.0,0.2950016053250645,6.977962932996187,0.004623227061182,0.14034348953021017
-0.065,-0.0687,0.1967,26,347.76984736235,0.0699,60.57512989495,0.0651,2014060974289807232,0.3388,0.0826,-3.783,0.092,-2.512,0.085,1.254,17.38892,0.003079,18.180548,0.012386,16.388966,0.010744,1.791582,,,1.407,789.768,89.973,104.649,0.77,1.532786573670555,0.0368407011176546,1.1291021326075836,0.0300936314985463,0.7366336266266538,0.0264373865731524,0.30098747086049743,2.6618887062781385,0.04756956921825817,0.1431911935492293
-0.1589,-0.0414,0.186,25,347.75437138132,0.0491,60.58307298683,0.0437,2014061043009265920,0.2857,0.0545,-3.709,0.062,-2.518,0.056,1.014,16.817776,0.00286,18.50902,0.01362,15.575995,0.003728,2.933024,,,1.474,1412.844,81.444,439.109,0.69,1.4221001676680751,0.0350853324897509,1.3534434694393394,0.0228441634298891,0.9517216158258968,0.02844944029478,0.3041991685196616,2.7755436371074147,0.04186688857232948,0.14471912034239517
-0.1783,-0.016,0.1666,25,347.75319614094,0.0284,60.58203395541,0.0258,2014061043009459456,0.3093,0.0317,-3.78,0.037,-2.221,0.034,0.969,15.918786,0.002784,16.557297,0.003736,15.127381,0.003189,1.429915,,,1.275,2717.072,437.028,703.519,0.99,2.6614968331598643,0.1519374286052543,1.7744640807138672,0.2318785910412849,0.6667165854212695,0.0950742956673686,0.313814895249925,4.435960913873732,0.2772231288952424,0.14929368746113017
-0.0845,-0.0016,0.1577,26,347.77943078365,0.0304,60.58080151518,0.0283,2014061077369017472,0.2706,0.0355,-3.693,0.04,-2.427,0.036,1.123,16.113188,0.002797,16.784023,0.005506,15.29401,0.003505,1.490013,,,1.286,2257.249,228.744,511.654,0.94,2.510503249334785,0.0675378308843712,1.5062452969702596,0.1087432811745741,0.5999774337553132,0.0462248721901241,0.35994724580470616,4.0167485463050445,0.12800960823773505,0.1712406021226784
-0.2043,-0.1024,0.1355,26,347.75193260605,0.0231,60.5839015248,0.022,2014061043009263616,0.3662,0.0258,-3.782,0.03,-2.212,0.028,0.959,15.536244,0.002778,16.148235,0.00382,14.767276,0.003049,1.38096,,,1.267,3084.183,416.235,882.715,0.99,3.1772516263517288,0.3064227261646163,2.083090609616329,0.3843226231201647,0.6556265774921429,0.1364902096563871,0.37844022250375464,5.260342235968057,0.4915269735753263,0.1800384148630039
